Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 4547,   12h34m54.3s, +58°54'51.3", 14.34, 0.950, 13.80, 1h08m, +35°52'27.06", 122°30'43.8", galaxia
NGC 4549,   12h34m57.0s, +58°54'36.5", 15.45, 0.389, 12.94, 1h08m, +35°52'41.90", 122°30'51.4", galaxia
NGC 4550,   12h35m31.8s, +12°13'06.3", 11.82, 1.807, 11.67, 1h09m, +82°34'11.86", 162°25'03.5", galaxia activa
NGC 4551,   12h35m39.2s, +12°15'41.3", 12.16, 1.543, 12.42, 1h09m, +82°31'36.83", 162°22'09.6", interacción galaxias
NGC 4553,   12h36m09.2s, -39°26'21.9", 13.39, 2.173, 13.87, 1h09m, +45°46'20.09", 135°46'35.1", galaxia
NGC 4555,   12h35m42.5s, +26°31'13.1", 12.72, 1.307, 12.75, 1h09m, +68°16'05.08", 152°07'18.1", galaxia
NGC 4559 (Galaxia Pez Koi),   12h35m59.1s, +27°57'25.4", 10.16, 10.700, 14.08, 1h09m, +66°49'52.70", 150°52'43.9", galaxia
NGC 4559,   12h36m54.8s, +27°51'34.1", 14.65, 0.637, 12.89, 1h10m, +66°55'43.63", 150°51'06.7", radio galaxia
NGC 4564,   12h36m28.2s, +11°26'12.5", 11.26, 2.403, 12.01, 1h09m, +83°21'05.43", 162°37'13.0", galaxia
NGC 4565 (Galaxia de la Aguja),   12h36m22.1s, +25°59'04.9", 12.58, 15.900, 15.99, 1h09m, +68°48'13.08", 152°29'05.5", galaxia
NGC 4565,   12h35m42.8s, +26°16'58.1", 16.01, 0.807, 13.82, 1h09m, +68°30'20.08", 152°19'09.6", galaxia
NGC 4566,   12h36m02.2s, +54°13'05.8", 13.52, 0.913, 12.89, 1h09m, +40°34'12.25", 126°55'33.9", galaxia activa
NGC 4567 (Gemelos siameses),   12h36m33.9s, +11°15'19.3", 11.45, 3.717, 13.46, 1h10m, +83°31'58.61", 162°41'18.8", galaxia activa
NGC 4568 (Gemelos siameses),   12h36m35.5s, +11°14'10.0", 11.33, 4.063, 13.09, 1h10m, +83°33'07.85", 162°41'31.9", galaxia activa
NGC 4570,   12h36m54.6s, +7°14'39.2", 11.04, 2.587, 11.38, 1h10m, +87°32'38.54", 164°09'55.5", galaxia
NGC 4571,   12h36m57.6s, +14°12'53.2", 11.29, 2.633, 12.89, 1h10m, +80°34'24.53", 161°00'21.3", galaxia
NGC 4575,   12h37m52.7s, -40°32'17.1", 13.26, 1.833, 13.72, 1h11m, +44°40'25.43", 134°38'01.3", galaxia
NGC 4576,   12h37m34.8s, +4°21'54.9", 13.90, 1.290, 13.64, 1h11m, +89°34'37.39", 164°33'56.4", galaxia
NGC 4578,   12h37m31.8s, +9°33'09.5", 12.31, 2.523, 13.70, 1h11m, +85°14'08.08", 163°13'50.1", galaxia
NGC 4581,   12h38m06.3s, +1°28'32.1", 12.71, 1.277, 12.42, 1h11m, +86°41'14.75", 164°28'46.4", galaxia activa
NGC 4583,   12h38m06.0s, +33°27'22.4", 14.63, 0.963, 14.12, 1h11m, +61°19'54.99", 145°53'38.4", galaxia
NGC 4584,   12h38m19.1s, +13°06'26.9", 13.52, 1.227, 13.63, 1h11m, +81°40'50.45", 161°21'57.8", galaxia activa
NGC 4585,   12h38m14.7s, +28°56'03.0", 14.37, 0.950, 13.37, 1h11m, +65°51'14.37", 149°47'13.1", galaxia
NGC 4592,   12h39m20.0s, -0°32'02.7", 12.53, 2.300, 13.13, 1h12m, +84°40'40.32", 163°54'08.9", galaxia
NGC 4593,   12h39m40.7s, -5°20'46.7", 13.29, 3.113, 14.83, 1h13m, +79°51'56.45", 162°15'49.0", galaxia activa
NGC 4595,   12h39m53.2s, +15°17'42.7", 12.57, 1.760, 13.04, 1h13m, +79°29'34.08", 159°47'29.1", galaxia
NGC 4596,   12h39m57.2s, +10°10'24.7", 11.47, 3.313, 13.01, 1h13m, +84°36'52.08", 162°25'56.6", galaxia
NGC 4598,   12h40m13.2s, +8°22'52.5", 12.87, 2.147, 13.51, 1h13m, +86°24'24.15", 163°02'17.1", galaxia
NGC 4601,   12h40m48.3s, -40°53'37.3", 14.40, 1.683, 13.96, 1h14m, +44°19'06.22", 134°05'37.8", galaxia
NGC 4603,   12h40m56.8s, -40°58'37.3", 11.50, 2.633, 12.75, 1h14m, +44°14'06.33", 134°00'24.0", galaxia
NGC 4606,   12h40m58.8s, +11°54'34.7", 12.62, 2.587, 13.71, 1h14m, +82°52'41.71", 161°25'33.2", interacción galaxias
NGC 4607,   12h41m13.6s, +11°53'02.7", 13.22, 2.633, 13.07, 1h14m, +82°54'13.63", 161°23'06.6", interacción galaxias
NGC 4608,   12h41m14.5s, +10°09'11.8", 11.10, 2.777, 12.34, 1h14m, +84°38'04.50", 162°09'05.5", galaxia
NGC 4609 (Cúmulo Saco de Carbón),   12h42m20.6s, -62°59'40.3", 7.27, 6.000, 10.90, 1h16m, +22°13'03.84", 113°14'55.0", cúmulo estelar abierto
NGC 4611,   12h41m26.6s, +13°43'36.6", 14.47, 1.113, 12.98, 1h14m, +81°03'39.65", 160°23'27.1", galaxia
NGC 4612,   12h41m34.0s, +7°18'44.4", 11.33, 1.743, 12.09, 1h15m, +87°28'31.79", 163°02'10.4", galaxia
NGC 4614,   12h41m32.8s, +26°02'23.5", 13.64, 0.957, 12.61, 1h14m, +68°44'52.73", 151°46'01.8", galaxia activa
NGC 4615,   12h41m38.6s, +26°04'12.4", 13.99, 1.490, 13.44, 1h15m, +68°43'03.72", 151°43'47.2", galaxia activa
NGC 4616,   12h42m18.0s, -40°38'33.6", 13.00, 1.037, 12.75, 1h15m, +44°34'10.56", 134°12'49.7", galaxia
NGC 4617,   12h41m07.8s, +50°23'26.7", 13.54, 1.943, 13.08, 1h14m, +44°23'49.67", 130°15'04.5", galaxia
NGC 4618,   12h41m34.4s, +41°08'52.7", 10.95, 2.633, 12.08, 1h14m, +53°38'23.52", 138°42'46.6", interacción galaxias
NGC 4619,   12h41m46.0s, +35°03'36.3", 13.12, 1.237, 12.87, 1h15m, +59°43'39.84", 144°07'23.4", galaxia activa
NGC 4620,   12h42m00.6s, +12°56'25.4", 13.00, 1.807, 13.64, 1h15m, +81°50'50.62", 160°41'34.3", galaxia
NGC 4622 (Galaxia Inversa),   12h42m39.2s, -40°44'41.6", 12.64, 1.513, 13.19, 1h16m, +44°28'02.63", 134°05'36.2", galaxia
NGC 4623,   12h42m11.9s, +7°40'28.1", 12.53, 2.173, 12.72, 1h15m, +87°06'47.85", 162°47'11.2", galaxia
NGC 4625,   12h41m54.3s, +41°16'15.3", 12.52, 1.797, 13.42, 1h15m, +53°31'00.76", 138°34'30.6", galaxia activa
NGC 4627 (Galaxia Cachorro),   12h42m01.1s, +32°34'14.3", 12.59, 2.600, 14.00, 1h15m, +62°13'01.73", 146°15'34.2", galaxia
NGC 4629,   12h42m33.9s, -1°21'10.1", 14.13, 1.110, 14.02, 1h16m, +83°51'34.07", 162°56'19.5", galaxia
NGC 4631 (Galaxia de la ballena),   12h42m09.4s, +32°32'19.3", 9.35, 9.253, 12.61, 1h15m, +62°14'56.63", 146°16'19.6", galaxia
NGC 4632,   12h42m33.2s, -0°05'05.3", 12.52, 2.427, 13.29, 1h16m, +85°07'38.92", 163°11'23.2", galaxia activa
NGC 4633,   12h42m38.3s, +14°21'10.7", 13.39, 1.819, 13.53, 1h16m, +80°26'05.08", 159°48'09.3", interacción galaxias
NGC 4634,   12h42m42.2s, +14°17'35.8", 12.47, 2.620, 12.31, 1h16m, +80°29'39.99", 159°49'22.7", interacción galaxias
NGC 4635,   12h42m40.5s, +19°56'33.1", 13.14, 1.620, 13.79, 1h16m, +74°50'42.66", 156°13'30.9", galaxia
NGC 4636,   12h42m51.1s, +2°41'07.6", 11.98, 5.680, 15.30, 1h16m, +87°53'51.90", 163°20'23.6", galaxia activa
NGC 4637,   12h42m55.3s, +11°26'08.7", 14.04, 0.773, 12.77, 1h16m, +83°21'07.02", 161°13'38.5", interacción galaxias
NGC 4638,   12h42m48.6s, +11°26'23.7", 11.37, 1.573, 11.50, 1h16m, +83°20'52.05", 161°14'59.1", galaxia
NGC 4639,   12h42m53.6s, +13°15'17.8", 12.86, 1.763, 13.41, 1h16m, +81°31'57.88", 160°20'44.3", galaxia activa
NGC 4640,   12h42m59.0s, +12°17'02.9", 14.02, 1.770, 14.06, 1h16m, +82°30'12.71", 160°48'57.9", galaxia
NGC 4641,   12h43m08.9s, +12°02'54.8", 13.61, 0.973, 13.10, 1h16m, +82°44'20.83", 160°53'38.2", galaxia
NGC 4642,   12h43m19.0s, -0°38'47.3", 13.60, 1.953, 13.55, 1h16m, +84°33'57.12", 162°54'13.2", galaxia
NGC 4644,   12h42m44.8s, +55°08'33.9", 14.17, 1.327, 13.35, 1h16m, +39°38'41.83", 125°43'42.4", interacción galaxias
NGC 4645,   12h44m11.6s, -41°45'01.6", 11.88, 1.623, 12.35, 1h17m, +43°27'43.24", 133°03'21.2", galaxia
NGC 4647,   12h43m33.8s, +11°34'47.7", 12.64, 2.583, 14.18, 1h17m, +83°12'27.75", 161°01'19.5", galaxia activa
NGC 4650 (Cadena de Centaurus),   12h44m21.2s, -40°43'56.8", 12.11, 2.620, 13.31, 1h17m, +44°28'48.09", 133°58'30.7", galaxia
NGC 4651 (Galaxia de la Sombrilla),   12h43m43.9s, +16°23'26.7", 11.06, 2.570, 12.40, 1h17m, +78°23'48.69", 158°23'23.0", galaxia activa
NGC 4652,   12h43m22.1s, +58°57'44.2", 14.78, 0.857, 13.08, 1h16m, +35°49'31.37", 122°06'59.2", galaxia
NGC 4653,   12h43m52.1s, -0°33'48.7", 13.25, 1.983, 13.72, 1h17m, +84°38'55.93", 162°47'00.7", galaxia
NGC 4654,   12h43m57.9s, +13°07'25.5", 12.08, 4.470, 14.06, 1h17m, +81°39'49.74", 160°11'24.3", galaxia activa
NGC 4656 (Galaxia de la Palanca),   12h43m59.1s, +32°10'02.9", 10.68, 1.657, 10.80, 1h17m, +62°37'12.42", 146°23'21.5", galaxia
NGC 4659,   12h44m30.6s, +13°29'45.9", 12.34, 1.487, 12.72, 1h17m, +81°17'29.20", 159°53'03.5", galaxia
NGC 4660,   12h44m33.2s, +11°11'16.7", 11.35, 1.290, 10.89, 1h18m, +83°35'58.32", 160°58'42.6", galaxia
NGC 4662,   12h44m27.7s, +37°07'06.5", 13.46, 2.450, 14.26, 1h17m, +57°40'08.58", 142°03'20.2", galaxia activa
NGC 4664,   12h45m07.2s, +3°03'12.0", 10.64, 3.557, 12.50, 1h18m, +88°15'57.17", 162°46'11.9", galaxia
NGC 4666 (Galaxia Superviento),   12h45m09.9s, -0°27'51.0", 11.91, 3.320, 12.80, 1h18m, +84°44'54.23", 162°28'57.7", galaxia
NGC 4672,   12h46m17.3s, -41°42'23.3", 14.45, 1.267, 14.12, 1h19m, +43°30'22.37", 132°56'14.9", galaxia
NGC 4674,   12h46m04.7s, -8°39'26.7", 13.34, 1.760, 13.20, 1h19m, +76°33'18.81", 159°15'38.8", galaxia
NGC 4675,   12h45m34.0s, +54°44'05.4", 14.37, 0.953, 12.83, 1h18m, +40°03'09.33", 125°57'46.7", radio galaxia
NGC 4676,   12h46m12.6s, +30°43'11.7", 14.03, 1.700, 14.21, 1h19m, +64°04'02.71", 147°20'54.9", galaxia activa
NGC 4676,   12h46m11.4s, +30°43'44.4", 14.47, 0.933, 13.39, 1h19m, +64°03'30.00", 147°20'36.3", galaxia activa
NGC 4677,   12h46m58.7s, -41°34'59.0", 12.87, 1.557, 12.68, 1h20m, +43°37'46.92", 132°59'47.6", galaxia
NGC 4679,   12h47m31.8s, -39°34'17.2", 12.10, 1.927, 12.46, 1h21m, +45°38'28.99", 134°46'29.2", galaxia
NGC 4680,   12h46m56.0s, -11°38'20.0", 13.08, 1.507, 13.19, 1h20m, +73°34'25.90", 157°22'38.8", galaxia
NGC 4683,   12h47m44.0s, -41°31'43.6", 14.00, 1.503, 13.87, 1h21m, +43°41'02.65", 132°59'13.1", galaxia
NGC 4684,   12h47m18.7s, -2°43'47.0", 14.80, 2.210, 13.06, 1h20m, +82°28'59.11", 161°26'17.9", galaxia
NGC 4685,   12h47m12.7s, +19°27'42.2", 13.27, 1.060, 12.47, 1h20m, +75°19'31.75", 155°46'47.9", galaxia
NGC 4688,   12h47m47.7s, +4°20'01.3", 14.34, 1.633, 14.48, 1h21m, +89°32'47.53", 162°02'03.9", galaxia activa
NGC 4689,   12h47m46.7s, +13°45'36.2", 11.02, 2.633, 12.59, 1h21m, +81°01'37.51", 159°04'03.6", galaxia activa
NGC 4690,   12h47m56.7s, -1°39'29.4", 13.32, 1.113, 13.05, 1h21m, +83°33'16.88", 161°33'36.4", galaxia
NGC 4691,   12h48m14.8s, -3°20'05.4", 11.22, 2.800, 12.98, 1h21m, +81°52'41.03", 161°02'10.2", galaxia activa
NGC 4694,   12h48m16.3s, +10°58'51.8", 13.50, 2.247, 14.20, 1h21m, +83°48'21.71", 160°14'11.8", galaxia activa
NGC 4698,   12h48m24.1s, +8°29'05.1", 12.41, 3.113, 14.16, 1h21m, +86°18'08.41", 161°04'56.9", galaxia activa
NGC 4699 (Galaxia Vinilo LP),   12h49m03.4s, -8°39'58.5", 11.65, 2.523, 12.42, 1h22m, +76°32'48.27", 158°37'42.7", galaxia
NGC 4700,   12h49m09.4s, -11°24'42.1", 14.47, 2.633, 13.14, 1h22m, +73°48'04.70", 157°04'51.4", galaxia activa
NGC 4704,   12h48m48.0s, +41°55'06.2", 13.96, 1.157, 13.42, 1h22m, +52°52'07.15", 137°25'22.0", galaxia activa
NGC 4706,   12h49m55.8s, -41°16'47.4", 13.70, 1.113, 13.00, 1h23m, +43°55'59.85", 133°02'12.2", galaxia
NGC 4709,   12h50m05.5s, -41°22'57.2", 11.52, 2.660, 13.20, 1h23m, +43°49'50.12", 132°55'51.2", galaxia
NGC 4719,   12h50m10.1s, +33°09'22.6", 13.74, 0.857, 12.66, 1h23m, +61°37'50.15", 144°51'18.2", galaxia activa
NGC 4725,   12h50m27.9s, +25°29'52.5", 12.59, 7.730, 16.06, 1h23m, +69°17'20.08", 150°56'01.8", galaxia activa
NGC 4732,   12h50m09.0s, +52°50'50.1", 13.91, 0.897, 12.70, 1h23m, +41°56'22.69", 127°26'46.4", galaxia
NGC 4733,   12h51m08.0s, +10°54'34.3", 11.95, 2.107, 13.19, 1h24m, +83°52'37.97", 159°37'11.7", galaxia
NGC 4734,   12h51m14.0s, +4°51'23.4", 13.78, 0.903, 12.90, 1h24m, +89°55'48.86", 161°07'47.8", radio galaxia
NGC 4735,   12h51m03.1s, +28°55'29.8", 14.57, 0.860, 13.04, 1h24m, +65°51'42.54", 148°11'40.3", galaxia activa
NGC 4738,   12h51m10.2s, +28°47'06.8", 13.96, 1.793, 13.11, 1h24m, +66°00'05.49", 148°17'21.7", galaxia
NGC 4741,   12h51m01.3s, +47°40'06.7", 13.70, 1.047, 13.06, 1h24m, +47°07'05.69", 132°05'58.0", radio galaxia
NGC 4743,   12h52m17.6s, -41°23'27.5", 13.51, 1.493, 13.23, 1h25m, +43°49'20.77", 132°44'32.7", galaxia
NGC 4744,   12h52m21.2s, -41°03'37.5", 12.54, 2.093, 12.89, 1h25m, +44°09'10.77", 133°02'00.4", galaxia
NGC 4745,   12h51m27.5s, +27°25'06.0", 14.53, 0.590, 13.03, 1h24m, +67°22'06.16", 149°19'15.0", galaxia
NGC 4748,   12h52m13.7s, -13°24'59.1", 14.18, 1.047, 13.42, 1h25m, +71°47'49.08", 155°15'38.0", galaxia activa
NGC 4753 (Galaxia Polvo del Diablo),   12h52m23.3s, -1°12'06.9", 10.09, 4.230, 12.42, 1h25m, +84°00'41.43", 160°34'17.5", galaxia
NGC 4754,   12h52m18.8s, +11°18'39.9", 10.70, 3.093, 12.56, 1h25m, +83°28'31.88", 159°11'46.4", interacción galaxias
NGC 4755 (Joyero),   12h53m41.3s, -60°21'41.2", 4.54, 10.000, 9.28, 1h27m, +24°51'07.75", 115°16'14.7", cúmulo estelar abierto
NGC 4762 (Galaxia Cometa de Papel),   12h52m57.2s, +11°13'41.6", 10.41, 5.120, 12.23, 1h26m, +83°33'29.88", 159°05'03.6", galaxia activa
NGC 4767,   12h53m54.5s, -39°42'53.5", 11.73, 2.077, 12.50, 1h27m, +45°29'55.56", 134°05'50.4", galaxia
NGC 4772,   12h53m30.3s, +2°09'57.7", 11.18, 2.403, 12.58, 1h26m, +87°22'46.47", 160°40'16.2", galaxia activa
NGC 4782,   12h54m36.9s, -12°34'13.3", 12.90, 3.217, 14.33, 1h28m, +72°38'36.03", 155°19'06.7", radio galaxia
NGC 4783,   12h54m37.6s, -12°33'36.6", 12.95, 1.189, 12.51, 1h28m, +72°39'12.75", 155°19'20.7", interacción galaxias
NGC 4785,   12h53m29.1s, -48°44'57.1", 12.33, 2.010, 12.79, 1h27m, +36°27'51.73", 125°59'37.3", galaxia activa
NGC 4787,   12h54m06.8s, +27°03'56.7", 14.60, 0.800, 12.97, 1h27m, +67°43'14.16", 149°12'44.8", galaxia
NGC 4788,   12h54m17.3s, +27°18'02.7", 14.44, 0.750, 12.61, 1h27m, +67°29'08.09", 149°00'30.8", galaxia
NGC 4789,   12h54m20.3s, +27°03'54.7", 12.25, 1.573, 12.49, 1h27m, +67°43'16.08", 149°10'49.0", galaxia
NGC 4789,   12h54m06.6s, +27°08'48.3", 14.10, 0.257, 10.89, 1h27m, +67°38'22.64", 149°09'05.8", galaxia
NGC 4792,   12h55m04.9s, -12°29'55.8", 15.15, 0.553, 13.05, 1h28m, +72°42'53.80", 155°16'09.8", galaxia
NGC 4793,   12h54m41.9s, +28°56'09.1", 12.08, 1.763, 12.38, 1h28m, +65°51'01.57", 147°41'32.6", galaxia activa
NGC 4794,   12h55m11.7s, -12°36'36.8", 13.15, 1.490, 13.33, 1h28m, +72°36'12.88", 155°10'51.7", galaxia
NGC 4797,   12h54m56.5s, +27°24'35.1", 13.32, 1.230, 13.15, 1h28m, +67°22'35.40", 148°49'53.7", galaxia activa
NGC 4801,   12h54m39.7s, +53°05'13.7", 14.45, 0.723, 13.24, 1h27m, +41°41'56.98", 126°56'56.9", galaxia
NGC 4807,   12h55m30.4s, +27°31'06.4", 13.65, 0.687, 12.41, 1h28m, +67°16'03.79", 148°40'02.8", interacción galaxias
NGC 4809,   12h54m52.2s, +2°39'06.2", 18.68, 1.700, 14.27, 1h28m, +87°51'55.72", 160°20'17.4", interacción galaxias
NGC 4815,   12h58m04.0s, -64°57'32.8", 9.02, 3.000, 11.14, 1h31m, +20°15'18.31", 110°48'49.3", cúmulo estelar abierto
NGC 4816,   12h56m13.5s, +27°44'33.5", 12.99, 1.363, 13.31, 1h29m, +67°02'36.33", 148°23'37.8", galaxia
NGC 4819,   12h56m29.2s, +26°59'04.6", 13.32, 0.917, 12.54, 1h29m, +67°48'05.16", 148°55'33.4", galaxia activa
NGC 4821,   12h56m30.4s, +26°57'14.6", 14.36, 0.523, 12.28, 1h29m, +67°49'55.14", 148°56'44.3", galaxia
NGC 4824,   12h56m35.5s, +27°32'09.5", 15.06, 0.463, 12.85, 1h29m, +67°15'00.15", 148°29'48.1", galaxia
NGC 4827,   12h56m44.8s, +27°10'33.3", 13.06, 0.943, 12.40, 1h30m, +67°36'36.27", 148°44'39.4", radio galaxia
NGC 4828,   12h56m44.2s, +28°01'03.3", 14.48, 0.617, 12.95, 1h30m, +66°46'06.31", 148°06'41.9", galaxia
NGC 4833 (Mariposa del Sur),   12h59m37.5s, -70°52'31.1", 8.37, 13.500, 13.76, 1h33m, +14°20'20.90", 105°15'56.4", cúmulo estelar globular
NGC 4834,   12h56m27.2s, +52°17'34.7", 14.31, 0.843, 12.83, 1h29m, +42°29'35.09", 127°33'06.5", galaxia
NGC 4835,   12h58m09.5s, -46°15'51.5", 11.97, 2.633, 12.26, 1h31m, +38°56'59.63", 127°54'19.0", galaxia
NGC 4839,   12h57m25.7s, +27°29'41.3", 12.21, 2.020, 13.09, 1h30m, +67°17'28.01", 148°24'19.2", radio galaxia
NGC 4840,   12h57m34.2s, +27°36'26.3", 14.05, 0.577, 12.37, 1h30m, +67°10'42.88", 148°18'00.8", galaxia
NGC 4841,   12h57m33.3s, +28°28'26.3", 13.19, 2.430, 13.86, 1h30m, +66°18'42.93", 147°38'51.5", interacción galaxias
NGC 4841,   12h57m35.2s, +28°28'45.5", 13.99, 0.720, 12.68, 1h30m, +66°18'23.65", 147°38'20.6", galaxia activa
NGC 4842,   12h57m37.2s, +27°29'25.3", 14.44, 0.440, 12.18, 1h30m, +67°17'43.86", 148°22'49.8", galaxia
NGC 4843,   12h58m02.0s, -3°37'23.8", 13.41, 2.373, 13.39, 1h31m, +81°35'27.26", 158°37'06.0", galaxia
NGC 4845,   12h58m02.4s, +1°34'23.8", 16.45, 3.850, 17.74, 1h31m, +86°47'14.83", 159°30'51.6", galaxia activa
NGC 4846,   12h57m49.1s, +36°22'03.1", 13.95, 0.977, 12.89, 1h31m, +58°25'05.97", 141°18'41.3", galaxia activa
NGC 4848,   12h58m06.9s, +28°14'22.9", 14.30, 1.037, 13.01, 1h31m, +66°32'46.00", 147°44'41.9", galaxia activa
NGC 4849,   12h58m13.9s, +26°23'38.2", 13.48, 0.997, 12.91, 1h31m, +68°23'30.68", 149°06'00.1", radio galaxia
NGC 4850,   12h58m23.2s, +27°57'53.1", 14.18, 0.493, 12.20, 1h31m, +66°49'15.65", 147°54'45.2", galaxia activa
NGC 4851,   12h58m23.0s, +28°08'45.1", 14.64, 0.840, 13.68, 1h31m, +66°38'23.66", 147°46'36.3", galaxia
NGC 4852,   13h00m11.2s, -59°36'44.5", 9.24, 10.000, 13.97, 1h33m, +25°36'07.77", 115°39'08.8", cúmulo estelar abierto
NGC 4853,   12h58m36.5s, +27°35'36.1", 13.15, 0.430, 10.85, 1h31m, +67°11'32.52", 148°09'28.0", galaxia activa
NGC 4854,   12h58m48.7s, +27°40'18.3", 14.36, 0.773, 13.27, 1h32m, +67°06'50.26", 148°04'09.3", galaxia
NGC 4858,   12h59m03.4s, +28°06'45.3", 15.18, 0.367, 12.41, 1h32m, +66°40'23.10", 147°42'13.6", galaxia
NGC 4859,   12h59m03.1s, +26°48'46.4", 13.95, 0.870, 12.90, 1h32m, +67°58'22.06", 148°40'06.3", galaxia
NGC 4860,   12h59m05.2s, +28°07'14.3", 13.40, 0.720, 12.23, 1h32m, +66°39'54.09", 147°41'36.0", galaxia
NGC 4861,   12h59m03.8s, +34°51'23.1", 12.48, 0.797, 11.58, 1h32m, +59°55'45.31", 142°24'38.6", galaxia activa
NGC 4864,   12h59m14.4s, +27°58'26.3", 14.03, 0.653, 12.68, 1h32m, +66°48'42.04", 147°46'50.4", galaxia
NGC 4865,   12h59m21.2s, +28°04'53.2", 13.85, 0.680, 12.08, 1h32m, +66°42'15.09", 147°41'02.0", galaxia
NGC 4867,   12h59m16.6s, +27°58'04.2", 14.29, 0.477, 12.04, 1h32m, +66°49'04.14", 147°46'48.2", galaxia
NGC 4869,   12h59m24.6s, +27°54'31.2", 13.67, 0.647, 12.33, 1h32m, +66°52'37.06", 147°48'15.9", radio galaxia
NGC 4870,   12h59m19.3s, +37°02'43.2", 15.01, 0.917, 13.51, 1h32m, +57°44'25.13", 140°34'51.5", galaxia
NGC 4871,   12h59m31.3s, +27°57'12.5", 14.22, 0.980, 13.37, 1h32m, +66°49'55.69", 147°45'17.0", galaxia activa
NGC 4872,   12h59m35.4s, +27°56'38.0", 14.26, 0.570, 12.39, 1h32m, +66°50'30.18", 147°45'06.0", galaxia activa
NGC 4873,   12h59m34.1s, +27°58'50.2", 14.29, 0.603, 12.60, 1h32m, +66°48'17.98", 147°43'39.4", galaxia
NGC 4874,   12h59m37.0s, +27°57'23.2", 11.56, 2.453, 13.17, 1h32m, +66°49'44.97", 147°44'18.3", radio galaxia
NGC 4875,   12h59m39.2s, +27°54'16.2", 14.72, 0.403, 12.19, 1h33m, +66°52'51.95", 147°46'18.4", galaxia
NGC 4876,   12h59m45.7s, +27°54'34.1", 14.34, 0.467, 12.12, 1h33m, +66°52'33.93", 147°45'07.5", galaxia
NGC 4881,   12h59m59.1s, +28°14'36.6", 13.72, 0.847, 13.03, 1h33m, +66°32'31.30", 147°28'12.9", galaxia
NGC 4883,   12h59m57.3s, +28°01'54.6", 14.43, 0.567, 12.63, 1h33m, +66°45'13.30", 147°37'56.6", galaxia
NGC 4886,   13h00m05.8s, +27°59'04.6", 14.45, 0.600, 12.98, 1h33m, +66°48'03.23", 147°38'48.6", galaxia
NGC 4889 (Coma B),   13h00m09.4s, +27°58'26.6", 11.46, 2.660, 12.90, 1h33m, +66°48'41.21", 147°38'44.5", galaxia
NGC 4892,   13h00m04.8s, +26°53'42.7", 14.00, 1.310, 12.86, 1h33m, +67°53'25.17", 148°27'06.5", galaxia
NGC 4894,   13h00m17.9s, +27°57'52.6", 15.20, 0.587, 12.98, 1h33m, +66°49'15.20", 147°37'54.8", galaxia
NGC 4895,   13h00m19.3s, +28°11'57.5", 13.25, 1.047, 12.19, 1h33m, +66°35'10.21", 147°27'13.9", galaxia
NGC 4896,   13h00m32.1s, +28°20'35.9", 14.14, 0.903, 12.99, 1h33m, +66°26'31.69", 147°18'54.7", galaxia
NGC 4900,   13h00m40.3s, +2°29'56.8", 12.51, 2.633, 13.87, 1h34m, +87°42'49.29", 158°53'17.3", galaxia
NGC 4904,   13h00m59.8s, -0°01'47.0", 16.76, 2.217, 14.33, 1h34m, +85°11'05.68", 158°37'59.6", galaxia activa
NGC 4906,   13h00m41.1s, +27°55'15.0", 14.24, 0.513, 12.41, 1h34m, +66°51'52.59", 147°36'25.3", galaxia
NGC 4907,   13h00m50.1s, +28°09'18.9", 13.97, 1.347, 13.46, 1h34m, +66°37'48.54", 147°24'39.6", galaxia activa
NGC 4908,   13h00m52.9s, +28°02'23.5", 13.74, 0.727, 12.26, 1h34m, +66°44'43.94", 147°29'22.7", galaxia
NGC 4911,   13h00m57.4s, +27°47'16.1", 13.49, 1.300, 13.69, 1h34m, +66°59'51.29", 147°39'53.0", galaxia activa
NGC 4917,   13h00m57.2s, +47°13'08.8", 14.22, 1.177, 13.37, 1h34m, +47°33'58.67", 131°43'44.6", galaxia
NGC 4919,   13h01m18.9s, +27°48'21.5", 14.21, 0.650, 12.38, 1h34m, +66°58'45.71", 147°35'51.8", galaxia
NGC 4921,   13h01m27.4s, +27°52'58.8", 13.23, 2.287, 14.52, 1h34m, +66°54'08.30", 147°31'11.1", galaxia activa
NGC 4922,   13h01m26.6s, +29°18'38.7", 14.83, 0.900, 13.76, 1h34m, +65°28'28.46", 146°27'29.3", galaxia activa
NGC 4923,   13h01m33.1s, +27°50'40.0", 14.03, 0.660, 12.54, 1h34m, +66°56'27.05", 147°32'02.7", galaxia
NGC 4926,   13h01m55.1s, +27°37'17.0", 13.40, 0.927, 12.81, 1h35m, +67°09'49.86", 147°38'33.0", galaxia
NGC 4927,   13h01m58.9s, +28°00'10.2", 13.97, 0.733, 12.68, 1h35m, +66°46'56.62", 147°21'11.7", radio galaxia
NGC 4929,   13h02m45.7s, +28°02'32.6", 14.26, 0.760, 13.19, 1h36m, +66°44'33.76", 147°12'25.7", galaxia
NGC 4930,   13h04m06.8s, -41°24'42.7", 12.21, 2.597, 13.35, 1h37m, +43°48'11.71", 131°40'35.0", galaxia
NGC 4931,   13h03m02.2s, +28°01'46.6", 13.53, 0.820, 12.17, 1h36m, +66°45'19.64", 147°10'30.9", galaxia
NGC 4932,   13h02m39.5s, +50°26'07.1", 13.96, 1.093, 13.44, 1h35m, +44°20'59.43", 128°46'12.3", galaxia
